CALLERTYPE,DATECANCELLED,DATEINVTDONE,DATETIMECLOSED,DATETIMEINIT,DESCRIPTION,NEIGHBORHOOD,PRJCOMPLETEDATE,PROBADDRESS,PROBADDTYPE,PROBCITY,PROBLEMCODE,PROBZIP,REQUESTID,SRX,SRY,STATUS,SUBMITTO,WARD
WEB,NA,2018-01-05 16:22:19.0,2018-01-05 16:22:21.287,2018-01-01 00:48:30.0,WTR-COMING-UP,8,2018-01-15 00:00:00.0,75 WILLMORE RD,A,NA,WTR-COMING-UP,NA,1049265,875854.877,998434.947,CLOSED,"WATER DIV,",16
WEB,NA,2018-01-05 16:22:19.0,2018-01-05 16:22:21.287,2018-01-01 00:48:30.0,WTR-COMING-UP,8,2018-01-15 00:00:00.0,75 WILLMORE RD,A,NA,WTR-COMING-UP,NA,1049265,875854.877,998434.947,CLOSED,"WATER DIV,",16
WEB,NA,NA,NA,2018-01-01 05:29:06.0,"NOWATER (due to main break, etc.)",1,2018-01-15 00:00:00.0,6739 VERMONT AVE,A,NA,NOWATER,NA,1049266,889804.745,991410.133,Disptch,"WATER DIV,",11
WEB,NA,2018-01-05 16:17:41.0,2018-01-05 16:18:08.673,2018-01-01 08:53:07.0,"NOWATER (due to main break, etc.)",7,2018-01-15 00:00:00.0,5444 ITASKA ST,A,NA,NOWATER,NA,1049267,881254.532,1001624.815,CLOSED,"WATER DIV,",16
PHONE,NA,2018-01-01 10:40:14.0,2018-01-01 10:40:54.27,2018-01-01 09:13:22.777,Signal Stuck,60,2018-01-04 00:00:00.0,CASS AVE & N 20TH ST,B,NA,Signal Stuck,NA,1049268,904417.543,1023278.246,CLOSED,"TRAFFIC DIVISION, 511",5
WEB,NA,2018-01-02 12:54:41.0,2018-01-12 10:27:12.717,2018-01-01 10:12:26.0,Containr damaged,42,2018-01-11 00:00:00.0,6441 LLOYD AVE,A,NA,Containr damaged,NA,1049269,878698.256,1016130.641,CLOSED,"REFUSE,",24
PHONE,NA,2018-01-03 11:22:29.46,2018-01-03 11:22:29.46,2018-01-01 10:52:32.057,Snow/Ice - Residnl,19,2018-01-05 00:00:00.0,3100 WINNEBAGO ST,B,NA,Snow/Ice - Residnl,NA,1049270,895735.006,1003416.034,CLOSED,"STREET DIVISION, 514",20
PHONE,NA,2018-01-03 11:19:13.877,2018-01-03 11:19:13.877,2018-01-01 10:54:43.267,Snow/Ice - Residnl,25,2018-01-05 00:00:00.0,S GRAND AVE & MAGNOLIA AVE,B,NA,Snow/Ice - Residnl,NA,1049271,894055.273,1009712.183,CLOSED,"STREET DIVISION, 514",8
WEB,NA,2018-01-05 16:16:55.0,2018-01-05 16:17:28.603,2018-01-01 11:07:02.0,FH-MAINTENANCE,25,2018-01-15 00:00:00.0,SIDNEY ST & VIRGINIA AVE,B,NA,FH-MAINTENANCE,NA,1049272,895810.094,1010105.666,CLOSED,"WATER DIV,",6
PHONE,NA,2017-12-29 20:00:00.0,2018-01-01 15:01:19.767,2018-01-01 12:05:40.2,Snow/Ice - Residnl,79,2018-01-05 00:00:00.0,5400 N BROADWAY,B,NA,Snow/Ice - Residnl,NA,1049273,902932.088,1036678.051,CLOSED,"STREET DIVISION, 514",2
